GenbankID,GeneName,GeneCategory,Replicate,10,11,9
170140687,MFS_antibiotic,Antibiotic resistance,1,NA,2478.936,NA
40252999,B_lactamase_A,Antibiotic resistance,1,NA,6781.1476,2519.8876
116693756,SMR_antibiotics,Antibiotic resistance,1,NA,3931.4999,NA
84623547,MFS_antibiotic,Antibiotic resistance,1,NA,3191.3929,NA
38488395,B_lactamase_C,Antibiotic resistance,1,NA,2450.914,NA
52003846,MATE_antibiotic,Antibiotic resistance,1,NA,2972.7969,NA
119376757,B_lactamase_C,Antibiotic resistance,1,NA,3260.7405,NA
28869623,MATE_antibiotic,Antibiotic resistance,1,NA,5174.3417,NA
77973541,SMR_antibiotics,Antibiotic resistance,1,NA,10196.1318,NA
76884014,SMR_antibiotics,Antibiotic resistance,1,NA,6325.3337,NA
53803070,SMR_antibiotics,Antibiotic resistance,1,NA,4571.3526,NA
54017959,SMR_antibiotics,Antibiotic resistance,1,NA,3573.7631,NA
13472330,MFS_antibiotic,Antibiotic resistance,1,NA,2454.9711,NA
27352490,SMR_antibiotics,Antibiotic resistance,1,NA,3800.0084,3393.2176
170140550,MFS_antibiotic,Antibiotic resistance,1,NA,8293.4328,NA
150377041,B_lactamase_C,Antibiotic resistance,1,NA,4549.3339,NA
27355876,MFS_antibiotic,Antibiotic resistance,1,NA,5623.1036,NA
126737799,SMR_antibiotics,Antibiotic resistance,1,NA,4115.4306,NA
159177531,MFS_antibiotic,Antibiotic resistance,1,NA,3022.9193,NA
84779127,SMR_antibiotics,Antibiotic resistance,1,NA,4948.3886,NA
157371005,SMR_antibiotics,Antibiotic resistance,1,NA,16806.1339,5176.1046
93005699,SMR_antibiotics,Antibiotic resistance,1,NA,4063.9596,NA
152972624,MFS_antibiotic,Antibiotic resistance,1,NA,5756.7422,NA
146283430,MFS_antibiotic,Antibiotic resistance,1,NA,5325.817,2862.1458
86282958,SMR_antibiotics,Antibiotic resistance,1,NA,11693.3616,2252.5156
27352305,SMR_antibiotics,Antibiotic resistance,1,NA,5953.5027,NA
167648687,SMR_antibiotics,Antibiotic resistance,1,NA,2971.4091,NA
6456729,B_lactamase_B,Antibiotic resistance,1,NA,2873.135,NA
194682068,ABC_antibiotic_transporter,Antibiotic resistance,1,NA,2649.679,NA
154253091,SMR_antibiotics,Antibiotic resistance,1,NA,4615.8273,NA
197296842,B_lactamase_A,Antibiotic resistance,1,NA,7618.6961,4227.1397
146409274,SMR_antibiotics,Antibiotic resistance,1,NA,4106.1895,NA
84689901,B_lactamase_C,Antibiotic resistance,1,NA,3638.9565,NA
167071030,SMR_antibiotics,Antibiotic resistance,1,NA,4504.304,NA
77972406,MFS_antibiotic,Antibiotic resistance,1,NA,3642.6625,NA
160364762,MFS_antibiotic,Antibiotic resistance,1,NA,7351.3599,NA
24209713,SMR_antibiotics,Antibiotic resistance,1,NA,3849.898,NA
91202932,Mex,Antibiotic resistance,1,NA,10471.0271,4058.7601
158332950,MFS_antibiotic,Antibiotic resistance,1,NA,4636.9748,NA
114332553,SMR_antibiotics,Antibiotic resistance,1,NA,3521.0073,NA
167854374,MATE_antibiotic,Antibiotic resistance,1,NA,6280.4302,NA
52425369,MATE_antibiotic,Antibiotic resistance,1,NA,29755.7212,NA
23016152,MFS_antibiotic,Antibiotic resistance,1,NA,3248.1047,NA
52785717,SMR_antibiotics,Antibiotic resistance,1,NA,5408.4086,2989.1728
56965486,Tet,Antibiotic resistance,1,NA,8604.4458,NA
52306251,SMR_antibiotics,Antibiotic resistance,1,NA,4770.9909,NA
92118744,MFS_antibiotic,Antibiotic resistance,1,NA,4112.7338,NA
