Incubation Replicate,Site,Basin,Substrate,Rate,Unamended control rate,Adjusted Rate,Microarrary Replicate,Unique mcr genes,Quantity mcrgenes,Total Methane (microM),Unamended control total,Adjusted Total
X,7,Cook Inlet gas field,Butyrate,1.1211,0.4221,0.699,1,,,227.4517143,34.93828571,192.5134286
O,7,Cook Inlet gas field,Valerate,0.7187,0.0313,0.6874,1,,,125.5914286,8.667257143,116.9241714
X,7,Cook Inlet gas field,Valerate,0.844,0.4221,0.4219,1,,,138.1171429,34.93828571,103.1788571
O,8,Cook Inlet gas field,Formate,0.0153,0.069,-0.0537,1,10,149110.9414,7.562,5.601471429,1.960528571
X,8,Cook Inlet gas field,Formate,0.0761,0.0473,0.0288,1,10,149110.9414,21.8006,7.9857,13.8149
O,8,Cook Inlet gas field,Acetate,0.067,0.069,-0.002,1,10,149110.9414,26.21945714,5.601471429,20.61798571
X,8,Cook Inlet gas field,Acetate,0.5056,0.0473,0.4583,1,10,149110.9414,116.9314286,7.9857,108.9457286
O,8,Cook Inlet gas field,Propionate,0.0562,0.069,-0.0128,1,10,149110.9414,7.724042857,5.601471429,2.122571429
X,8,Cook Inlet gas field,Propionate,0.0796,0.0473,0.0323,1,10,149110.9414,8.904485714,7.9857,0.918785714
O,8,Cook Inlet gas field,Butyrate,0.982,0.069,0.913,1,10,149110.9414,199.386,5.601471429,193.7845286
X,8,Cook Inlet gas field,Butyrate,1.0956,0.0473,1.0483,1,10,149110.9414,204.4454286,7.9857,196.4597286
O,8,Cook Inlet gas field,Valerate,0.6374,0.069,0.5684,1,10,149110.9414,150.44,5.601471429,144.8385286
X,8,Cook Inlet gas field,Valerate,0.7702,0.0473,0.7229,1,10,149110.9414,150.2485714,7.9857,142.2628714
O,9,Cook Inlet gas field,Formate,0.0217,0.1847,-0.163,1,3,7383.8053,8.217228571,32.54428571,-24.32705714
X,9,Cook Inlet gas field,Formate,0.0155,0.0213,-0.0058,1,3,7383.8053,8.362714286,7.663242857,0.699471429
