"Substrate","Site","Basin","TotalAdjusted1","TotalAdjusted2","Rate1","Rate2","Unique1","Unique2","Unique3","Quantity1","Quantity2","Quantity3","TotalAdjustedZ1","TotalAdjustedZ2","RateZ1","RateZ2","UniqueZ1","UniqueZ2","UniqueZ3","QuantityZ1","QuantityZ2","QuantityZ3","TotalAdjustedMean","RateMean","QuantityMean","UniqueMean"
"Butyrate",2,"Illinois Basin",33.85561143,-1.166898571,-0.011,0.2286,33,35,32,258549.7278,289875.3704,181754.527,0.212996341772929,-0.508866401455549,-0.45273320977953,0.073680128162055,1.13916674280455,1.29720143544796,1.06014939648285,0.723916328556643,0.92916648017604,0.220743039851563,16.3443564295,0.1088,243393.2084,33.3333333333333
"Butyrate",3,"Illinois Basin",32.09580429,1.925758571,0.1764,0.0044,42,36,36,683142.9009,251808.4028,295653.7655,0.176724263912227,-0.445122427413553,-0.041005916247589,-0.418898629628025,1.85032285969988,1.37621878176966,1.37621878176966,3.50591235232969,0.679746189861209,0.967027362569934,17.0107814305,0.0904,410201.689733333,38
"Butyrate",4,"Illinois Basin",0.715892857,0.79686,0.0053,0.00158,2,11,12,1545.9549,27209.0353,113528.8425,-0.470059446011626,-0.468390600347632,-0.416921284034756,-0.425094312486937,-1.31037099316824,-0.599214876272914,-0.520197529951211,-0.96000964953269,-0.791861426353997,-0.226281535726086,0.7563764285,0.00344,47427.9442333333,8.33333333333333
"Butyrate",5,"Illinois Basin",0.9348,0.103251429,7e-05,0,28,28,24,179871.2305,345036.158,122603.1938,-0.465547464695787,-0.48268683970268,-0.428411858982312,-0.428565652528455,0.744080011196037,0.744080011196037,0.428010625909225,0.208403408160519,1.29058795723603,-0.166825070492307,0.5190257145,3.5e-05,215836.860766667,26.6666666666667
"Butyrate",6,"Cook Inlet gas field",162.7132857,144.2344286,0.8555,0.714,8,NA,NA,45848.6462,NA,NA,2.86893260196467,2.48805760249855,1.45101118640738,1.14012851813219,-0.836266915238023,NA,NA,-0.66973199353746,NA,NA,153.47385715,0.78475,45848.6462,8
"Butyrate",7,"Cook Inlet gas field",155.1670286,192.5134286,0.6771,0.699,NA,NA,NA,NA,NA,NA,2.7133937256489,3.48315508064425,1.05905734880813,1.10717275824436,NA,NA,NA,NA,NA,NA,173.8402286,0.68805,NA,NA
"Butyrate",8,"Cook Inlet gas field",193.7845286,196.4597286,0.913,1.0483,10,NA,NA,149110.9414,NA,NA,3.50935422322117,3.56449382374179,1.57734159931072,1.87460255349894,-0.678232222594617,NA,NA,0.00685753463288471,NA,NA,195.1221286,0.98065,149110.9414,10
"Butyrate",9,"Cook Inlet gas field",4.014428571,99.8849,0.0808,0.2704,3,NA,NA,7383.8053,NA,NA,-0.402072027660481,1.57395200654978,-0.251043959266018,0.165516845716138,-1.23135364684654,NA,NA,-0.921759207393911,NA,NA,51.9496642855,0.1756,7383.8053,3
"Butyrate",10,"Cook Inlet gas field",0.878397143,-0.003908571,0.0853,0.086,1,NA,NA,7639.0289,NA,NA,-0.466710006189209,-0.484895556655352,-0.241157231299669,-0.239619295838237,-1.38938833948994,NA,NA,-0.920086945366736,NA,NA,0.437244286,0.08565,7639.0289,1
"Butyrate",11,"Cook Inlet gas field",5.25692,2.802771429,0.1269,0.065,3,NA,NA,74839.7853,NA,NA,-0.376462547604648,-0.42704597008641,-0.149759923877424,-0.285757359681197,-1.23135364684654,NA,NA,-0.479777847284958,NA,NA,4.0298457145,0.09595,74839.7853,3
"Butyrate",12,"Powder River Basin",17.73204556,-37.67172222,0.1106,-0.2378,26,NA,NA,184190.6877,NA,NA,-0.119332822790403,-1.26128169492214,-0.185571849622198,-0.9510242992835,0.586045318552631,NA,NA,0.236705117930185,NA,NA,-9.96983833,-0.0636,184190.6877,26
"Butyrate",13,"Powder River Basin",-6.265292222,-28.95724556,-0.0574,-0.1704,21,NA,NA,139690.8809,NA,NA,-0.613951400413773,-1.08166418528595,-0.55467636036588,-0.80294308485419,0.190958586944116,NA,NA,-0.0548640673970411,NA,NA,-17.611268891,-0.1139,139690.8809,21
"Butyrate",14,"Powder River Basin",-1.003833333,32.73911111,-0.1119,0.1268,19,NA,NA,126165.8359,NA,NA,-0.505505399630593,0.18998371407184,-0.674415621291658,-0.149979628943343,0.0329238943007097,NA,NA,-0.143482122973949,NA,NA,15.8676388885,0.00745,126165.8359,19
"Butyrate",15,"Powder River Basin",-1.821973333,2.54239,-0.1999,-0.0907,11,NA,NA,8864.715,NA,NA,-0.522368405301177,-0.432412794240884,-0.867756079300253,-0.62783814731686,-0.599214876272914,NA,NA,-0.912056072350813,NA,NA,0.3602083335,-0.1453,8864.715,11
"Butyrate",16,"Powder River Basin",-9.343735556,-1.600771111,-0.0026,0.0069,NA,NA,NA,NA,NA,NA,-0.677402408062603,-0.517809119208416,-0.434277984242345,-0.413406002980054,NA,NA,NA,NA,NA,NA,-5.4722533335,0.00215,NA,NA
"Butyrate",17,"Powder River Basin",1.597984444,0.115182222,-0.0343,-0.0575,NA,NA,NA,NA,NA,NA,-0.451878309001389,-0.482440929430582,-0.503924490138624,-0.554896065431799,NA,NA,NA,NA,NA,NA,0.856583333,-0.0459,NA,NA
