"GeneCategory","Basin","Site","AbundanceMean","AbudanceRelativeToBasinMean","AbudanceRelativeToBasinSE","AbudanceRelativeToBasinList","AbudanceRelativeToBasinCount","SEHigh","SELow","RankWithinCategory","RankWithinSite"
"Bacteria phage","Illinois",5,7227.35422919189,0.539525020721782,0.0272910499685194,"0.552238805970149-0.558139534883721-0.508196721311475",3,0.566816070690301,0.512233970753262,2,3
"Bacteria phage","Powder",12,9515.70245066667,0.480769230769231,NA,"0.480769230769231",1,NA,NA,5,3
"Bacteria phage","Powder",13,7336.74807808219,0.467948717948718,NA,"0.467948717948718",1,NA,NA,7,7
"Bacteria phage","Powder",14,6328.47156753247,0.493589743589744,NA,"0.493589743589744",1,NA,NA,6,2
"Bacteria phage","Powder",15,1065.79905076923,0.416666666666667,NA,"0.416666666666667",1,NA,NA,3,3
"Bioleaching","Illinois",1,1838.2078573984,0.234767316268519,0.0754357773442814,"0.168918918918919-0.21830985915493-0.317073170731707",3,0.3102030936128,0.159331538924237,9,7
"Bioleaching","Illinois",2,6941.85714030286,0.573495945275402,0.0461197501863731,"0.52027027027027-0.598591549295775-0.601626016260163",3,0.619615695461776,0.527376195089029,1,7
"Bioleaching","Illinois",3,12685.9916347105,0.693908267594286,0.016568562162746,"0.702702702702703-0.704225352112676-0.67479674796748",3,0.710476829757032,0.67733970543154,8,3
"Bioleaching","Illinois",4,5173.04164447015,0.240377701645307,0.0892322089709732,"0.155405405405405-0.232394366197183-0.333333333333333",3,0.329609910616281,0.151145492674334,4,2
"Bioleaching","Illinois",5,7490.35859243961,0.558191822877498,0.0187661117151078,"0.567567567567568-0.570422535211268-0.536585365853659",3,0.576957934592606,0.53942571116239,7,7
"Bioleaching","Powder",12,7087.75441585366,0.557823129251701,NA,"0.557823129251701",1,NA,NA,2,8
"Bioleaching","Powder",13,6357.50748571429,0.571428571428571,NA,"0.571428571428571",1,NA,NA,6,5
"Bioleaching","Powder",14,4684.09937256098,0.557823129251701,NA,"0.557823129251701",1,NA,NA,5,7
"Bioleaching","Powder",15,972.560601639344,0.414965986394558,NA,"0.414965986394558",1,NA,NA,3,15
"Carbon cycling","CookInlet",6,8.80868895833333,0.534521158129176,NA,"0.534521158129176",1,NA,NA,1,4
"Carbon cycling","CookInlet",8,9.33509593147752,0.520044543429844,NA,"0.520044543429844",1,NA,NA,2,4
"Carbon cycling","CookInlet",9,4249.2767700565,0.197104677060134,NA,"0.197104677060134",1,NA,NA,14,7
"Carbon cycling","CookInlet",10,8767.485105,0.133630289532294,NA,"0.133630289532294",1,NA,NA,6,12
"Carbon cycling","CookInlet",11,7307.39560964467,0.438752783964365,NA,"0.438752783964365",1,NA,NA,3,2
"Carbon cycling","Illinois",1,2992.43186684855,0.23833811983415,0.0576152512955303,"0.176864244741874-0.247046911913601-0.291103202846975",3,0.29595337112968,0.18072286853862,9,5
"Carbon cycling","Illinois",2,9382.41634937973,0.595609685610815,0.04106197874318,"0.553855959209688-0.597030037124536-0.635943060498221",3,0.636671664353995,0.554547706867635,5,12
"Carbon cycling","Illinois",3,14769.112611611,0.728695339060417,0.00810552275386304,"0.737731038878266-0.726290921363483-0.722064056939502",3,0.73680086181428,0.720589816306554,12,12
"Carbon cycling","Illinois",4,7075.74529699644,0.290562529076965,0.109457700243207,"0.169216061185468-0.320620992237597-0.381850533807829",3,0.400020229320172,0.181104828833758,13,12
"Carbon cycling","Illinois",5,10942.3785091724,0.606089185434007,0.0460925577438012,"0.62906309751434-0.636179547755653-0.553024911032028",3,0.652181743177809,0.559996627690206,4,12
"Carbon cycling","Powder",12,9873.31900356126,0.553409090909091,NA,"0.553409090909091",1,NA,NA,7,12
"Carbon cycling","Powder",13,7372.67290828489,0.526515151515151,NA,"0.526515151515151",1,NA,NA,11,12
"Carbon cycling","Powder",14,7397.24448680172,0.617045454545455,NA,"0.617045454545455",1,NA,NA,10,12
"Carbon cycling","Powder",15,1188.42359168388,0.366666666666667,NA,"0.366666666666667",1,NA,NA,8,2
"Energy process","CookInlet",6,8.79157352941176,0.607142857142857,NA,"0.607142857142857",1,NA,NA,1,11
"Energy process","CookInlet",8,9.31000806451613,0.553571428571429,NA,"0.553571428571429",1,NA,NA,2,11
"Energy process","CookInlet",9,6271.319725,0.214285714285714,NA,"0.214285714285714",1,NA,NA,14,9
"Energy process","CookInlet",10,9402.77705,0.160714285714286,NA,"0.160714285714286",1,NA,NA,6,7
"Energy process","CookInlet",11,8649.7881509434,0.473214285714286,NA,"0.473214285714286",1,NA,NA,3,8
"Energy process","Illinois",1,2514.12605705187,0.240327064374731,0.0528052592236245,"0.189964157706093-0.23574144486692-0.295275590551181",3,0.293132323598356,0.187521805151107,12,12
"Energy process","Illinois",2,10747.3687519713,0.606836401674493,0.0419140260290031,"0.559139784946237-0.623574144486692-0.637795275590551",3,0.648750427703496,0.56492237564549,13,8
"Energy process","Illinois",3,14179.88590397,0.732352196009842,0.0185000161608431,"0.741935483870968-0.711026615969582-0.744094488188976",3,0.750852212170685,0.713852179848999,5,10
"Energy process","Illinois",4,8783.18760147425,0.308651197924843,0.107757950668602,"0.186379928315412-0.349809885931559-0.389763779527559",3,0.416409148593445,0.200893247256242,9,4
